Timestamp,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,Please rate this artwork!,I support the use of generative AI in the creation of art for personal use.,"I support the use of generative AI in the creation of art for commercial use/for profit (advertisement, gaming, design, etc.).",I would use generative AI to create art.
7/15/2024 2:13:06,4,3,5,5,4,3,5,4,4,4,5,3,4,3,5,3,3,4,3
7/15/2024 4:15:05,3,5,2,3,1,3,1,3,2,2,4,5,3,4,4,3,5,5,5
7/15/2024 4:49:26,4,4,4,4,5,4,4,4,3,4,3,3,5,3,4,3,4,2,3
7/15/2024 11:39:44,2,3,4,5,4,3,2,2,4,3,4,3,2,2,2,2,4,1,4
7/15/2024 18:58:25,3,2,4,3,2,2,4,4,2,4,4,4,4,3,3,2,4,4,3
7/15/2024 22:25:03,2,4,3,2,1,3,4,4,1,3,4,4,4,2,4,3,2,3,3
7/18/2024 22:18:47,4,3,3,1,5,3,4,2,4,3,5,2,1,2,2,1,1,2,1
7/19/2024 18:01:33,5,4,5,4,3,4,5,4,5,5,5,4,4,4,5,3,4,3,2
7/19/2024 18:04:30,5,1,3,4,2,4,5,3,4,3,4,3,5,2,4,2,1,2,1
7/19/2024 18:11:02,4,3,3,2,3,2,2,3,2,3,3,4,4,4,3,2,2,4,3
7/19/2024 18:26:28,4,4,2,3,2,1,5,4,3,5,5,4,3,4,4,2,4,3,3
7/19/2024 18:29:18,5,3,5,2,1,3,4,4,2,4,5,4,3,3,4,2,4,4,3
7/19/2024 18:32:23,4,2,2,2,2,4,2,3,2,2,4,3,3,3,5,3,1,2,1
7/19/2024 18:46:39,3,3,3,3,4,2,4,4,4,3,2,2,4,5,4,2,4,3,5
7/19/2024 19:04:58,3,4,2,3,3,2,3,1,4,2,3,4,4,3,4,1,3,2,3
7/19/2024 19:42:18,3,4,5,3,2,2,4,4,4,4,5,5,4,5,4,3,4,4,3
7/19/2024 20:53:51,4,2,4,3,2,3,2,4,2,4,1,4,3,2,2,3,3,3,2
7/19/2024 21:18:24,5,3,3,1,4,2,2,2,4,4,5,4,2,5,3,3,5,5,4
7/19/2024 22:12:04,3,3,4,3,3,3,5,5,2,4,4,4,3,4,5,3,3,3,3
7/19/2024 22:15:18,4,3,5,5,5,2,3,3,2,3,5,5,3,3,3,2,4,3,1
7/19/2024 22:19:20,4,3,2,5,2,5,5,2,2,4,5,5,4,2,5,3,3,5,5
7/19/2024 22:51:34,3,3,5,2,2,2,3,2,3,4,4,4,3,3,3,2,2,1,1
7/19/2024 22:57:31,4,4,5,3,5,4,3,3,4,3,2,4,2,3,3,4,4,3,2
7/20/2024 0:06:02,3,5,5,2,1,1,2,3,1,2,3,5,2,5,2,1,4,4,2
7/20/2024 2:20:12,4,2,3,4,3,4,2,2,5,5,4,4,3,3,5,4,2,1,1
7/20/2024 3:12:55,4,2,1,1,3,2,4,2,2,2,3,2,2,4,3,2,3,3,4
7/20/2024 16:05:21,4,4,5,2,3,4,5,3,2,4,5,4,4,3,5,3,3,3,4
7/21/2024 16:06:01,1,2,2,3,2,2,2,2,2,2,3,3,2,2,3,1,3,3,2
7/21/2024 16:56:38,3,4,3,2,1,3,5,4,1,3,4,5,3,3,5,2,4,3,5
7/21/2024 20:25:10,3,2,2,4,2,3,4,2,2,3,3,5,3,4,3,4,4,4,3
7/21/2024 21:11:01,5,4,5,4,5,4,5,5,3,4,5,5,3,5,5,4,1,1,1
